,,,,,,,,,48.0,KBA,22409.0,23351.0,"Inspección Departamental deEscuelas",18 de Julio 1174,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,49.0,KBA,23352.0,24386.0,Mercado Municipal,Montevideo esq. Sarandí,410.0,N,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,N,URBANO,58.0,KBA,31066.0,31740.0,Ministerio de Trabajo,Leandro Gomez 1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,S,URBANO,59.0,KBA,31741.0,32397.0,Liceo No. 7,25 de Mayo Esq. Dr. Felippone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,S,URBANO,60.0,KBA,32398.0,32979.0,Liceo No. 7,25 de Mayo Esq. Dr. Felippone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,S,URBANO,61.0,KBA,32980.0,33544.0,Liceo No. 7,25 de Mayo Esq. Dr. Felippone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,S,URBANO,62.0,KBA,33545.0,34067.0,Liceo No. 2,José P. Varela 847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,S,URBANO,63.0,KBA,34068.0,34576.0,Liceo No. 2,José P. Varela 847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,S,URBANO,64.0,KBA,34577.0,35073.0,Escuela No. 2,Ituzaingó 1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,S,URBANO,65.0,KBA,35074.0,35574.0,Escuela No. 2,Ituzaingó 1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,S,URBANO,66.0,KBA,35575.0,36039.0,Escuela No. 2,Ituzaingó 1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,S,URBANO,67.0,KBA,36040.0,36470.0,Polideportivo UTU,Artigas casi Zorrilla de San Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,S,URBANO,68.0,KBA,36471.0,36906.0,Polideportivo UTU,Artigas casi Zorrilla de San Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,S,URBANO,69.0,KBA,36907.0,37326.0,Polideportivo UTU,Artigas casi Zorrilla de San Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,S,URBANO,70.0,KBA,37327.0,37736.0,Polideportivo UTU,Artigas casi Zorrilla de San Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,408.0,N,URBANO,71.0,KBA,37737.0,38192.0,"Asociación Cristiana deJóvenes",Dr. Luis Alberto de Herrera 820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,410.0,S,URBANO,72.0,KCA,1.0,3482.0,Salón Farol B. Chaplin,Joaquín Suarez y Andresito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,410.0,S,URBANO,73.0,KCA,3483.0,4622.0,Comedor Barrio Chaplin,Ingreso por Andresito y Joaquin Suarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,410.0,S,URBANO,74.0,KCA,4623.0,5488.0,Salón Comunal COVINORTE,Instrucciones del Año XIII y Bulevar Artigas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,410.0,S,URBANO,75.0,KCA,5489.0,6400.0,CAIF Pintando Soles,Instrucciones del Año XIII y Bulevar Artigas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,410.0,S,URBANO,76.0,KCA,6401.0,7207.0,Escuela No. 89,Proy. 26 N esq. Grito de Asencio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
