Unnamed: 0,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
49,HAB,52138,52808,Centro,"Liceo N°6 - Sala 7, Fructuoso Rivera y F. Sánchez",410,S,U,planes_circuitales\Rivera.pdf
50,HAB,52809,53472,Centro,"Liceo N°6 - Sala 9, Fructuoso Rivera y F. Sánchez",410,S,U,planes_circuitales\Rivera.pdf
51,HAB,53473,54225,Centro,"UTU Escuela Técnica, Pantaleón Quesada N°770",410,S,U,planes_circuitales\Rivera.pdf
52,HAB,54226,54981,Centro,"UTU Escuela Técnica, Pantaleón Quesada N°770",410,S,U,planes_circuitales\Rivera.pdf
53,HAB,54982,55662,Centro,"UTU Escuela Técnica, Pantaleón Quesada N°770",410,S,U,planes_circuitales\Rivera.pdf
54,HAB,55663,56281,Centro,"UTU Escuela Técnica, Pantaleón Quesada N°770",410,S,U,planes_circuitales\Rivera.pdf
55,HAB,56282,56898,Centro,"UTU Ciclo Básico-Salón 2, Lavalleja N°541",410,S,U,planes_circuitales\Rivera.pdf
56,HAB,56899,57502,Centro,"UTU Ciclo Básico-Salón 3, Lavalleja N°541",410,S,U,planes_circuitales\Rivera.pdf
57,HAB,57503,58058,Centro,"UTU Ciclo Básico-Salón 4, Lavalleja N°541",400,S,U,planes_circuitales\Rivera.pdf
58,HAB,58059,58574,Centro,"UTU Ciclo Básico-Salón 5, Lavalleja N°541",400,S,U,planes_circuitales\Rivera.pdf
59,HAB,58575,59078J,an A. Lavallej,"Escuela N°132, Presidente Viera N°504",400,S,U,planes_circuitales\Rivera.pdf
HAB,59079,59587J,an A. Lavallej,"Escuela N°132, Presidente Viera N°504",400,S,U,,planes_circuitales\Rivera.pdf
61,HAB,59588,60088,áximo Xavie,"Escuela N°7 - Sala 3, José Pedro Varela N°849",400,S,U,planes_circuitales\Rivera.pdf
62,HAB,60089,60594,áximo Xavie,"Escuela N°7 - Sala 5, José Pedro Varela N°849",400,S,U,planes_circuitales\Rivera.pdf
63,HAB,60595,61079,áximo Xavie,"Escuela N°7 - Sala 6, José Pedro Varela N°849",400,S,U,planes_circuitales\Rivera.pdf
64,HAB,61080,61543,áximo Xavie,"Escuela N°7 - Sala 7, José Pedro Varela N°849",400,S,U,planes_circuitales\Rivera.pdf
65,HAB,61544,62028,Rivera Chico,"Centro  Retirados Militares, Ansina N°735",400,S,U,planes_circuitales\Rivera.pdf
66,HAB,62029,62496,Rivera Chico,"Centro  Retirados Militares, Ansina N°735",400,S,U,planes_circuitales\Rivera.pdf
67,HAB,62497,62984,Rivera Chico,"Liceo N°2 - Sala 7  P/B, F. Sánchez y Avda.Cuaró",400,S,U,planes_circuitales\Rivera.pdf
68,HAB,62985,63436,Rivera Chico,"Liceo N°2 - Sala 8  P/B, F. Sánchez y Avda.Cuaró",400,S,U,planes_circuitales\Rivera.pdf
69,HAB,63437,63890,Rivera Chico,"Liceo N°2 - Sala 9  P/B, F. Sánchez y Avda.Cuaró",400,S,U,planes_circuitales\Rivera.pdf
70,HAB,63891,64342,Rivera Chico,"Liceo N°5 - Sala 1, Fernando Segarra N°713",400,N,U,planes_circuitales\Rivera.pdf
71,HAB,64343,64782,Rivera Chico,"Liceo N°5 - Sala 8, Fernando Segarra N°713",400,N,U,planes_circuitales\Rivera.pdf
72,HAB,64783,65224,Rivera Chico,"Liceo N°5 - Sala Multiuso, Fernando Segarra N°713",400,N,U,planes_circuitales\Rivera.pdf
73,HAB,65225,65655,Rivera Chico,"Escuela N°120, F. Carábula y Miguel Aristegui",400,N,U,planes_circuitales\Rivera.pdf
74,HAB,65656,66080,Rivera Chico,"Escuela N°120, F. Carábula y Miguel Aristegui",400,N,U,planes_circuitales\Rivera.pdf
