Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
144,QFA,4154,4519,Ruta 6 Km 182 y Av. Centenario,Escuela No 28 - Capilla del Sauce,335.0,SI,Rural,planes_circuitales\Florida.pdf
145,QFB,1,984,Ruta 6 Km 172,Escuela No 60 - Montecoral,83.0,SI,Rural,planes_circuitales\Florida.pdf
146,QFC,1,1517,Ruta 42 Km 49,Escuela No 16 - Polanco del Yí,94.0,SI,Rural,planes_circuitales\Florida.pdf
,QFF  Castro,1,110,18,,,,,planes_circuitales\Florida.pdf
147,QFD,1,839,Ruta 6 Km 155,Escuela No 48 - Estación Gallinal,24.0,SI,Rural,planes_circuitales\Florida.pdf
148,QFE,1,608,Ruta 6 Km 195 camino vecinal,Escuela No 95 - Molles de Timote,66.0,SI,Rural,planes_circuitales\Florida.pdf
149,GB Molles de Pesca,"o1",249,Yí y Camino Nacional,Salón MEVIR- Nico Perez,6.0,SI,Rural,planes_circuitales\Florida.pdf
,QGD,1,3093,340,,,,,planes_circuitales\Florida.pdf
150,QGD,3094,3532,Sta. Lucía esq. Uruguay,Escuela No 21 - Nico Perez,346.0,NO,Rural,planes_circuitales\Florida.pdf
151,GE Paso R. de Man,".1",557,Ruta 7 Km 180,Escuela No 20 - Illescas,33.0,SI,Rural,planes_circuitales\Florida.pdf
QGF Illescas,1,873,94,,,,,,planes_circuitales\Florida.pdf
153.0,QGC Valentines,1,770,Calle G S/N,Junta Local - Cerro Chato,31.0,SI,Rural,planes_circuitales\Florida.pdf
,QGH,1,2252,297,,,,,planes_circuitales\Florida.pdf
154.0,QGI,1,283,Ruta 6 Km 170,Escuela No 46 - Las Chilcas,37.0,SI,Rural,planes_circuitales\Florida.pdf
155.0,QHA,1,3986,25 de Agosto s/n,Asociación de Pasivos - 25 de Mayo,289.0,SI,Rural,planes_circuitales\Florida.pdf
156.0,QHA,3987,4713,Av. Artigas esq. O. Rava,Salón Comunal - 25 de Mayo,289.0,NO,Rural,planes_circuitales\Florida.pdf
157.0,QHA,4714,5216,Independencia esq. Rivera,Liceo 25 de Mayo,289.0,SI,Rural,planes_circuitales\Florida.pdf
158.0,QHA,5217,5642,Independencia esq. Rivera,Liceo 25 de Mayo,289.0,NO,Rural,planes_circuitales\Florida.pdf
159.0,QHA,5643,5981,Independencia esq. Rivera,Liceo 25 de Mayo,289.0,NO,Rural,planes_circuitales\Florida.pdf
160.0,QHA,5982,6289,Av. Artigas esq. O. Rava,Escuela N° 5  -  25 de Mayo,289.0,NO,Rural,planes_circuitales\Florida.pdf
161.0,QHA,6290,6584,Av. Artigas esq. O. Rava,Escuela N° 5  -  25 de Mayo,290.0,NO,Rural,planes_circuitales\Florida.pdf
162.0,QHB,1,850,Ruta 77,Escuela No 54 - Berrondo,217.0,SI,Rural,planes_circuitales\Florida.pdf
163.0,QHC,1,1121,Ruta 5 Km 102.500,Escuela No 25 - Villa Vieja,107.0,SI,Rural,planes_circuitales\Florida.pdf
164.0,QHE,1,3002,R.Cabaña Nùñez s/n,Liceo Cardal,273.0,SI,Rural,planes_circuitales\Florida.pdf
165.0,QHE,3003,3611,R.Cabaña Nùñez s/n,Liceo Cardal,273.0,SI,Rural,planes_circuitales\Florida.pdf
166.0,QHE,3612,4049,R.Cabaña Nùñez s/n,Liceo Cardal,273.0,SI,Rural,planes_circuitales\Florida.pdf
167.0,QHE,4050,4372,R.Cabaña Nùñez s/n,Escuela N° 24 - Cardal,273.0,NO,Rural,planes_circuitales\Florida.pdf
168.0,QHE,4373,4655,R.Cabaña Nùñez s/n,Escuela N° 24 - Cardal,273.0,NO,Rural,planes_circuitales\Florida.pdf
169.0,QHF,1,3061,Juan José Aguiar  esq. Juan de León,Club Social 25 de Agosto,310.0,SI,Rural,planes_circuitales\Florida.pdf
170.0,QHF,3062,3795,Juan José Aguiar  esq. Juan de León,Club Social 25 de Agosto,311.0,SI,Rural,planes_circuitales\Florida.pdf
171.0,QHF,3796,4220,Juan de León esq. Juan José Aguiar,Salón Comunal - 25 de Agosto,311.0,NO,Rural,planes_circuitales\Florida.pdf
172.0,QHF,4221,4598,Juan de León esq. Juan José Aguiar,Salón Comunal - 25 de Agosto,311.0,NO,Rural,planes_circuitales\Florida.pdf
173.0,QHF,4599,4930,Ramón Alvarez s/n,Escuela N° 47 - 25 de Agosto,311.0,NO,Rural,planes_circuitales\Florida.pdf
174.0,QHG,1,346,Ruta 77 Km 6.500,Escuela No 73 -  Estación Independencia,198.0,SI,Rural,planes_circuitales\Florida.pdf
175.0,QHG,347,569,Ruta 77 Km 6.500,Escuela No 73 -  Estación Independencia,198.0,SI,Rural,planes_circuitales\Florida.pdf
