Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,Unnamed: 0,MAA,57868,58530,Mercedes,Club El Remanso - Cassinoni y Paysandú,400,N,Urbano,77468,77946,"Escuela No 104, Giménez 797",S,MBA,2635,3149,Villa Soriano,"Escuela No 6, Villa Soriano",289,Rural,MCA,31497,32003,Dolores,"Escuela No 2, Puig 1552",410,MED,1,920,San Martín,"Escuela No 34, San Martin",65,MGA,532,Arroyo Corto,"Escuela No 74, Arroyo Corto",77,file
,,,,,,,,,69.0,MAA,,,Mercedes,,400.0,,Urbano,79343.0,79804.0,"Liceo G. Cardozo, Oribe 622",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,70.0,MAA,,,Mercedes,,400.0,,Urbano,79805.0,80307.0,"Liceo G. Cardozo, Oribe 622",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,71.0,MAA,,,Mercedes,,400.0,,Urbano,80308.0,80784.0,"Hogar Español, Haedo y W. Ferreira Aldunate",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,72.0,MAA,,,Mercedes,,400.0,,Urbano,80785.0,81219.0,"Casa de la Cultura, W. Ferreira Aldunate e Ituzaingo",S,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,73.0,MAA,,,Mercedes,,400.0,,Urbano,81220.0,81676.0,"Escuela No 4, W. Ferreira Aldunate 621",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,74.0,MAA,,,Mercedes,,400.0,,Urbano,81677.0,82114.0,"Escuela No 4, W. Ferreira Aldunate 621",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,75.0,MAA,,,Mercedes,,400.0,,Urbano,82115.0,82554.0,"Escuela No 4, W. Ferreira Aldunate 621",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,76.0,MAA,,,Mercedes,,400.0,,Urbano,82555.0,82989.0,"Escuela No 4, W. Ferreira Aldunate 621",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,77.0,MAA,,,Mercedes,,400.0,,Urbano,82990.0,83424.0,"Liceo Zanzi, W. Ferreira Aldunate 632",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,78.0,MAA,,,Mercedes,,400.0,,Urbano,83425.0,83874.0,"Liceo Zanzi, W. Ferreira Aldunate 632",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,79.0,MAA,,,Mercedes,,400.0,,Urbano,83875.0,84313.0,"Liceo Zanzi, W. Ferreira Aldunate 632",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,80.0,MAA,,,Mercedes,,400.0,,Urbano,84314.0,84772.0,"Esc. Tec. Blanes Viale, Haedo 458",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,81.0,MAA,,,Mercedes,,400.0,,Urbano,84773.0,85207.0,"Esc. Tec. Blanes Viale, Haedo 458",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,82.0,MAA,,,Mercedes,,400.0,,Urbano,85208.0,85669.0,"Esc. Tec. Blanes Viale, Haedo 458",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,83.0,MAA,,,Mercedes,,400.0,,Urbano,85670.0,86098.0,"Asoc. Retirados Policiales, Pozzolo 368",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,84.0,MAA,,,Mercedes,,400.0,,Urbano,86099.0,86528.0,"Espacio Rural (ex Esc. No 122), Asencio 548",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,85.0,MAA,,,Mercedes,,400.0,,Urbano,86529.0,86954.0,"Oficina de la Juventud, Detomasi 415",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,86.0,MAA,,,Mercedes,,400.0,,Urbano,86955.0,87375.0,"Jardín No 109, De Castro y Careaga 464",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,87.0,MAA,,,Mercedes,,400.0,,Urbano,87376.0,87801.0,"Sociedad Italiana, Colón 382",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,88.0,MAA,,,Mercedes,,400.0,,Urbano,87802.0,88221.0,"Sociedad Italiana (Salón Inmigrantes), Colón 382",S,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,89.0,MAA,,,Mercedes,,400.0,,Urbano,88222.0,88631.0,"Escuela No 39, Colón 1259",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,90.0,MAA,,,Mercedes,,400.0,,Urbano,88632.0,89046.0,"Escuela No 39, Colón 1259",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,91.0,MAA,,,Mercedes,,400.0,,Urbano,89047.0,89451.0,"Escuela No 41, P. Hors c/ Lavalleja",N,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,99.0,,,,,,,N,,,,,,MBA,3150.0,3519.0,Villa Soriano,"Escuela No 6, Villa Soriano",289.0,Rural,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,100.0,,,,,,,N,,,,,,MBA,3520.0,3845.0,Villa Soriano,"Junta Local, Villa Soriano",292.0,Rural,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,101.0,,,,,,,S,,,,,,MBB,1.0,339.0,Las Maulas,"Escuela No 83, Bizcocho",25.0,Rural,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,101.0,,,,,,,S,,,,,,MBC,1.0,421.0,Bizcocho,"Escuela No 83, Bizcocho",37.0,Rural,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,102.0,,,,,,,S,,,,,,MBD,1.0,3461.0,Ejido de Mercedes,"Escuela No 27, Ejido de Mercedes",224.0,Rural,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,103.0,,,,,,,N,,,,,,MBD,3462.0,3826.0,Ejido de Mercedes,"Escuela No 32, Ejido de Mercedes",224.0,Rural,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,104.0,,,,,,,N,,,,,,MBD,3827.0,4082.0,Ejido de Mercedes,"Escuela No 25, Ejido de Mercedes",225.0,Rural,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,105.0,,,,,,,S,,,,,,MBE,1.0,911.0,Pamer,"Escuela No 110, Pamer",157.0,Rural,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,106.0,,,,,,,S,,,,,,MCA,1.0,12375.0,Dolores,"B.P.S., Asencio 1500",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,107.0,,,,,,,S,,,,,,MCA,12376.0,14496.0,Dolores,"B.P.S., Asencio 1500",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,108.0,,,,,,,N,,,,,,MCA,14497.0,16052.0,Dolores,"AJUPENDOL, Gomensoro 1220",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,109.0,,,,,,,N,,,,,,MCA,16053.0,17284.0,Dolores,"Frontón Progreso, Asencio y E. Barros",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,110.0,,,,,,,N,,,,,,MCA,17285.0,18298.0,Dolores,"AJUPENDOL, Gomensoro 1140",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,111.0,,,,,,,N,,,,,,MCA,18299.0,19401.0,Dolores,"AJUPENDOL, Gomensoro 1140",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,112.0,,,,,,,N,,,,,,MCA,19402.0,20398.0,Dolores,"Escuela No 113, 18 de Julio 1504",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,113.0,,,,,,,N,,,,,,MCA,20399.0,21316.0,Dolores,"Escuela No 113, 18 de Julio 1504",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,114.0,,,,,,,N,,,,,,MCA,21317.0,22254.0,Dolores,"Escuela No 97, Rivera y Rio Negro",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,115.0,,,,,,,N,,,,,,MCA,22255.0,23083.0,Dolores,"Escuela No 97, Rivera y Rio Negro",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,116.0,,,,,,,N,,,,,,MCA,23084.0,23873.0,Dolores,"Escuela No 58, 33 Orientales 1302",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,117.0,,,,,,,N,,,,,,MCA,23874.0,24673.0,Dolores,"Escuela No 58, 33 Orientales 1302",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,118.0,,,,,,,N,,,,,,MCA,24674.0,25301.0,Dolores,"Club del Niño ""Gurisitos"", Gadea 1610",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,119.0,,,,,,,N,,,,,,MCA,25302.0,25927.0,Dolores,"Escuela del Hogar, 18 de Julio y T. Gómez",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,120.0,,,,,,,N,,,,,,MCA,25928.0,26584.0,Dolores,"Club Unión, Asencio 1424",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,121.0,,,,,,,N,,,,,,MCA,26585.0,27172.0,Dolores,"Club Libertad, López Crespo y Bottinelli",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,122.0,,,,,,,N,,,,,,MCA,27173.0,27727.0,Dolores,"Escuela No 102, Barrenechea 1925",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,123.0,,,,,,,N,,,,,,MCA,27728.0,28292.0,Dolores,"Escuela No 102, Barrenechea 1925",410.0,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,131.0,,,,,,,N,Urbano,,,,,,,,,,,,MCA,32004.0,32488.0,Dolores,"Escuela No 2, Puig 1552",410.0,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,132.0,,,,,,,N,Urbano,,,,,,,,,,,,MCA,32489.0,32943.0,Dolores,"Liceo No 2, Vázquez 1168",400.0,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,133.0,,,,,,,N,Urbano,,,,,,,,,,,,MCA,32944.0,33394.0,Dolores,"Casa de la Cultura, Asencio 1415",400.0,,,,,,,,,,,,planes_circuitales\Soriano.pdf
